156 ,06180102905,R P S SE. SEC. SCHOOL DAULTABA
157 ,06180102906,BHARAT HIGH SCHOOL DAULTABAD
158 ,06180102911,Amar Middle School
159 ,06180102913,"Perfect way school, ward no. 7"
160 ,06180103001,GPS SURAT NAGAR
161 ,06180103002,"LORD KRISHNA CONVENT, SURAT NAGAR"
162 ,06180103003,B R MEMORIAL PUBLIC SCHOOL
163 ,06180103004,Cosmic Convent School
164 ,06180103005,Ayasha public school
165 ,06180103101,GPS PANCHAWALI
166 ,06180103201,SKYLARK PUBLIC SCHOOL
167 ,06180103401,GSSS BAJGHERA
168 ,06180103503,RAJDHANI PUBLIC SCHOOL
169 ,06180103603,GSSS SARHAUL
170 ,06180103604,S V M PUBLIC SCHOOL
171 ,06180103706,LIFE LIGHT PUBLIC SCHOOL
172 ,06180103808,THE SHRI RAM SCHOOL
173 ,06180103809,EURO INTERNATIONAL SCHOOL SECTOR 45 NEAR GREENWOOD CITY
174 ,06180103905,JAI SIKARI SARKAR PUBLIC SCHOOL
175 ,06180103906,"RBS  PUBLIC SCHOOL, PALAM VIHAR,EXTENSION"
176 ,06180104007,Parents pride school
177 ,06180104101,GPS BAL NO. 1
178 ,06180104102,WELFARE CENTRE FOR PERSONS WITH SHI GURGAON
179 ,06180104201,GPS R R CAMP
180 ,06180104301,GPS BHIM NAGAR
181 ,06180104302,VISHVA BHARTI SCHOOL
182 ,06180104305,GGSSS BHIM NAGAR
183 ,06180104306,GURU DRONOCHARYA SHISKHA
184 ,06180104307,INDIRA GANDHI SR. SEC. P/S
185 ,06180104308,DAYANAND AADARSH SCHOOL
186 ,06180104501,GPS CHAKKARPUR
187 ,06180104504,MEGHA PUBLIC SCHOOL
188 ,06180104505,VIVEK MIDLE SCHOOL
189 ,06180104507,"LANCERS INTERNATIONAL SCHOOL, CHAKARPUR"
190 ,06180104508,ELITE CENTRAL ACADEMY
191 ,06180104509,DPS INTERNATIONAL SOUTH CITY-II
192 ,06180104510,Shikshantar School
193 ,06180104514,THE SUNHILL SCHOOL
194 ,06180104603,VIKASH CONVENT SCHOOL
195 ,06180104702,GSSS BHANDWARI
196 ,06180104803,GSSS GAWAL PHARI
197 ,06180105002,GSSS SUKHRALI
198 ,06180105005,GGPS SUKHRALI
199 ,06180105006,SANT MEMORIAL PUBLIC SCHOOL
200 ,06180105007,ST. PBN PUBLIC SCHOOL
201 ,06180105008,GYAN DEVI PUBLIC SCHOOL SR. SEC.
202 ,06180105009,SVM PUBLIC SCHOOL MIDDLE
203 ,06180105101,GPS SAINI KHERA
204 ,06180105402,GMS S P GHOSI
205 ,06180105404,GPS DLF PHASE 1 SITE NO 1104
206 ,06180105610,VIDYA SCHOOL
207 ,06180105801,GPS JHARSA-G
208 ,06180105802,GPS JHARSA-B
209 ,06180105812,MANAV RACHNA INTERNATIONAL SCHOOL
210 ,06180105813,"M.D. SR. SEC. SCHOOL, JHARSA"
211 ,06180105815,DELHI PUBLIC SCHOOL
212 ,06180105817,SANJEEWANI PUBLIC SCHOOL
213 ,06180105818,VIVEK HIGH SCHOOL
214 ,06180105819,K.R. MANGALAM WORLD SCHOOL
215 ,06180105820,CR Model Public School Sector 32
216 ,06180105823,SVM HIGH SCHOOL JHARSA
217 ,06180105824,RYAN INTERNATIONAL SCHOOL
218 ,06180106001,GPS SAMASPUR
219 ,06180106002,GMS SAMASPUR
220 ,06180106003,"GARIMA PUBLIC SCHOOL, SAMASPUR"
221 ,06180106004,Presidium Gurgaon
222 ,06180106007,The Navyandhra school
223 ,06180106101,GPS TIGRA
224 ,06180106103,GMS TIGRA
225 ,06180106301,GPS SILOKHRA
226 ,06180106302,GMS SILOKHRA
227 ,06180106403,GPS SUSHHANT LOK-A 1
228 ,06180106404,GPS SUSHANT LOK DLF PH-IV
229 ,06180106407,GMSSS SANSKRITI SCHOOL SEC-43
230 ,06180106410,GPS SUSHANT LOK C-2
231 ,06180106411,GPS SANSKRITI MODEL SCHOOL SEC-43
232 ,06180106414,GURUGRAM PUBLIC SCHOOL
233 ,06180106417,GPS SUSHANT LOK B-2 MAX
234 ,06180106418,GPS SUSHANT LOK B-1 ARCADE
235 ,06180106419,"RIDGE VALLEY SR. SCHOOL, DLF PH-IV"
236 ,06180106502,GGPS WAZIRABAD
237 ,06180106504,GSSS WAZIRABAD
238 ,06180106508,GGSSS WAZIRABAD
239 ,06180106509,GPS SUNCITY SECTOR-54
240 ,06180106513,"SHIKSHA BHARTI MIDDLE SCHOOL, WAZIRABAD"
241 ,06180106514,"RYAN INTERNATIONAL SCHOOL, Sector 40"
242 ,06180106517,NOBEL HIGH SCHOOL
243 ,06180106520,MATRIKIRAN  school
244 ,06180106524,AMBIENCE PUBLIC SCHOOL SEC-43
245 ,06180106525,Narayana E techo  MG Road
246 ,06180106602,GMS GHATA
247 ,06180106701,GPS OM NAGAR
248 ,06180106702,Omraj public school
249 ,06180106803,G. D. GOENKA PUBLIC SCHOOL
250 ,06180106806,NARAYANA E-TECHNO SCHOOL 37-C
251 ,06180106901,GPS TIKRI
252 ,06180107101,GPS SHIVAJI NAGAR
253 ,06180107102,GMS SHIVAJI NAGAR
254 ,06180107201,GPS SEC-9
255 ,06180107202,GMS SEC-9
256 ,06180107203,SH. S.N. SIDHESHWAR SR. SEC. PUBLIC SCHOOL
257 ,06180107204,SH SN SIDHESHWAR PUBLIC SCHOOL
258 ,06180107302,GPS POLICE LINE
259 ,06180107304,GSSS GURGAON BOYS
260 ,06180107306,VEDIC KANYA HIGH SCHOOL
261 ,06180107308,BVN PUBLIC SCHOOL
262 ,06180107311,KANWAR PUBLIC SCHOOL
263 ,06180107312,CHETANA PUBLIC SCHOOL
264 ,06180107313,SHIVA MIDDLE PRY. SCHOOL
265 ,06180107314,R P MEMORIAL SCHOOL
266 ,06180107317,NEW LIGHT MIDDLE SCHOOL
267 ,06180107319,HAPPY HIGH SCHOOL
268 ,06180107321,GGPS NO.1 GURGAON
269 ,06180107337,NEEL GAGAN M/S PATEL NAGAR
270 ,06180107338,DELHI PUBLIC SCHOOL SECTOR-28
271 ,06180107339,MAHARANA MEMORIAL SCHOOL
272 ,06180107340,XION INTERNATIONAL CONVENT SCHOOL
273 ,06180107341,GYAN DEEP SR.SEC. SCHOOL
274 ,06180107342,MARU MAL GIRLS SR. SEC. SCHOOL
275 ,06180107344,SHALOM HILLS INTERNATIONAL
